2019-7-15 14:25:32	INFO: 	 fsf im Raum '22' hat den Buzzer gedrueckt
2019-7-15 14:25:38	INFO: 	 Im Raum '22' wurden die Punkte vom Spieler 'fsf' ge�ndert zu 10.
2019-7-15 14:25:38	INFO: 	 Im Raum '22' wurden die Punkte vom Spieler 'fsf' ge�ndert zu 11.
2019-7-15 14:25:43	INFO: 	 Im Raum '22' wurden die Punkte vom Spieler 'fsf' ge�ndert zu 011.
2019-7-15 14:25:49	INFO: 	 Im Raum '22' wurden die Punkte vom Spieler 'fsf' ge�ndert zu 1e1.
2019-7-15 14:25:54	INFO: 	 Im Raum '22' wurden die Punkte vom Spieler 'fsf' ge�ndert zu .
2019-7-15 14:25:57	INFO: 	 Im Raum '22' wurden die Punkte vom Spieler 'fsf' ge�ndert zu 0.
2019-7-15 14:26:3	INFO: 	 Im Raum '22' hat 'fsf' 10 Punkte bekommen.
2019-7-15 14:26:3	INFO: 	 Im Raum '22' hat 'fsf' 10 Punkte bekommen.
2019-7-15 14:26:3	INFO: 	 Im Raum '22' hat 'fsf' 10 Punkte bekommen.
2019-7-15 14:26:4	INFO: 	 Im Raum '22' hat 'fsf' 10 Punkte bekommen.
2019-7-15 14:26:4	INFO: 	 Im Raum '22' hat 'fsf' 10 Punkte bekommen.
2019-7-15 14:26:5	INFO: 	 Buzzer im Raum '22' freigegeben.
2019-7-15 14:26:6	INFO: 	 fsf im Raum '22' hat den Buzzer gedrueckt
2019-7-15 14:26:7	INFO: 	 Buzzer im Raum '22' freigegeben.
2019-7-15 14:26:8	INFO: 	 fsf im Raum '22' hat den Buzzer gedrueckt
2019-7-15 14:26:9	INFO: 	 Buzzer im Raum '22' freigegeben.
2019-7-15 14:26:11	INFO: 	 fsf im Raum '22' hat den Buzzer gedrueckt
2019-7-15 14:26:12	INFO: 	 Buzzer im Raum '22' freigegeben.
2019-7-15 14:26:13	INFO: 	 fsf im Raum '22' hat den Buzzer gedrueckt
2019-7-15 14:26:14	INFO: 	 Buzzer im Raum '22' freigegeben.
2019-7-15 14:26:15	INFO: 	 fsf im Raum '22' hat den Buzzer gedrueckt
2019-7-15 14:26:16	INFO: 	 Buzzer im Raum '22' freigegeben.
2019-7-15 14:26:34	INFO: 	 Buzzer im Raum '22' freigegeben.
2019-7-15 14:26:35	INFO: 	 fsf im Raum '22' hat den Buzzer gedrueckt
2019-7-15 14:26:35	INFO: 	 Buzzer im Raum '22' freigegeben.
2019-7-15 14:26:36	INFO: 	 fsf im Raum '22' hat den Buzzer gedrueckt
2019-7-15 14:26:36	INFO: 	 Buzzer im Raum '22' freigegeben.
2019-7-15 14:26:37	INFO: 	 fsf im Raum '22' hat den Buzzer gedrueckt
2019-7-15 14:26:38	INFO: 	 Buzzer im Raum '22' freigegeben.
2019-7-15 14:26:38	INFO: 	 fsf im Raum '22' hat den Buzzer gedrueckt
2019-7-15 14:26:39	INFO: 	 Buzzer im Raum '22' freigegeben.
2019-7-15 14:26:40	INFO: 	 fsf im Raum '22' hat den Buzzer gedrueckt
2019-7-15 14:26:42	INFO: 	 Im Raum '22' hat 'fsf'  Punkte bekommen.
2019-7-15 14:26:45	INFO: 	 Im Raum '22' hat 'fsf' 1 Punkte bekommen.
2019-7-15 14:26:45	INFO: 	 Im Raum '22' wurden die Punkte vom Spieler 'fsf' ge�ndert zu -1.
2019-7-15 14:26:46	INFO: 	 Im Raum '22' wurden die Punkte vom Spieler 'fsf' ge�ndert zu 0.
2019-7-15 14:26:48	INFO: 	 Buzzer im Raum '22' freigegeben.
2019-7-15 14:26:52	INFO: 	 Frage 'ddd' im Raum '22' gestellt.
2019-7-15 14:26:55	INFO: 	 Frage 'hhh' im Raum '22' gestellt.
2019-7-15 14:27:41	INFO: 	 fsf im Raum '22' hat den Buzzer gedrueckt
2019-7-15 14:27:43	INFO: 	 Buzzer im Raum '22' freigegeben.
2019-7-15 14:27:49	INFO: 	 Spieler fsf hat den Raum '22' verlassen.
2019-7-15 14:27:54	INFO: 	 Spieler dfdgdfgdfg ist dem Raum '22' beigetreten.
2019-7-15 14:27:55	INFO: 	 dfdgdfgdfg im Raum '22' hat den Buzzer gedrueckt
2019-7-15 14:27:56	INFO: 	 Buzzer im Raum '22' freigegeben.
2019-7-15 14:27:56	INFO: 	 Buzzer im Raum '22' freigegeben.
2019-7-15 14:27:57	INFO: 	 dfdgdfgdfg im Raum '22' hat den Buzzer gedrueckt
2019-7-15 14:27:58	INFO: 	 Buzzer im Raum '22' freigegeben.
2019-7-15 14:27:59	INFO: 	 dfdgdfgdfg im Raum '22' hat den Buzzer gedrueckt
2019-7-15 14:28:0	INFO: 	 Buzzer im Raum '22' freigegeben.
2019-7-15 14:28:8	INFO: 	 Admin erstellt Raum '22'.
2019-7-15 14:28:10	INFO: 	 Admin joint Raum '22'.
2019-7-15 14:28:17	INFO: 	 Frage 'fdsfsdfffffffffffffffffffffffffffg dfsg sdfg sdfg sdfg sfgs  gfsd gsdfg' im Raum '22' gestellt.
2019-7-15 14:28:24	INFO: 	 Frage im Raum '22' gel�scht.
2019-7-15 14:28:24	INFO: 	 dfdgdfgdfg im Raum '22' hat den Buzzer gedrueckt
2019-7-15 14:28:25	INFO: 	 Buzzer im Raum '22' freigegeben.
2019-7-15 14:28:28	INFO: 	 Spieler dfdgdfgdfg hat den Raum '22' verlassen.
